% Slashdot_small
% out_node	in_node	sign
0	1	1.0
0	2	1.0
0	3	1.0
0	4	1.0
0	5	1.0
0	6	1.0
0	7	1.0
0	8	1.0
0	9	1.0
0	10	1.0
0	11	1.0
0	12	1.0
0	13	1.0
0	14	1.0
0	15	1.0
0	16	1.0
0	17	1.0
0	18	1.0
0	19	1.0
0	20	1.0
0	21	1.0
0	22	1.0
0	23	1.0
0	24	1.0
0	25	-1.0
0	26	-1.0
0	27	-1.0
0	28	-1.0
0	29	-1.0
1	0	1.0
1	4	1.0
1	9	1.0
1	530	-1.0
1	31	1.0
1	41	1.0
1	52	1.0
1	98	1.0
1	613	1.0
1	614	1.0
1	615	1.0
1	616	1.0
1	617	1.0
1	618	1.0
1	619	1.0
1	620	1.0
1	621	1.0
1	622	1.0
1	623	1.0
1	624	1.0
1	625	1.0
1	626	1.0
1	627	1.0
1	628	1.0
1	629	1.0
1	118	1.0
1	631	1.0
1	632	1.0
1	633	1.0
1	634	1.0
1	635	1.0
1	636	1.0
1	637	1.0
1	638	1.0
1	639	1.0
1	640	1.0
1	641	1.0
1	642	1.0
1	643	1.0
1	644	1.0
1	645	1.0
1	646	1.0
1	647	1.0
1	648	1.0
1	649	1.0
1	650	1.0
1	651	1.0
1	652	1.0
1	653	1.0
1	654	1.0
1	655	1.0
1	656	1.0
1	657	1.0
1	658	1.0
1	659	1.0
1	660	1.0
1	661	1.0
1	662	1.0
1	663	1.0
1	664	1.0
1	665	1.0
1	666	1.0
1	667	1.0
1	668	1.0
1	669	1.0
1	670	1.0
1	671	1.0
1	672	1.0
1	673	1.0
1	674	1.0
1	675	-1.0
1	676	-1.0
1	677	-1.0
1	678	-1.0
1	679	-1.0
1	680	-1.0
1	681	-1.0
1	170	1.0
1	683	-1.0
1	684	-1.0
1	685	-1.0
1	686	-1.0
1	687	-1.0
1	688	-1.0
1	689	-1.0
1	690	-1.0
1	691	-1.0
1	692	-1.0
1	693	-1.0
1	694	-1.0
1	695	-1.0
1	696	-1.0
1	697	-1.0
1	630	1.0
1	682	-1.0
3	0	1.0
3	17	1.0
3	98	1.0
3	699	1.0
3	48	1.0
3	8	1.0
3	9	1.0
3	698	1.0
3	55	1.0
3	114	1.0
3	47	1.0
4	700	1.0
5	763	-1.0
5	15	1.0
5	738	1.0
5	751	1.0
5	31	1.0
5	33	1.0
5	753	1.0
5	41	1.0
5	172	1.0
5	754	1.0
5	47	1.0
5	52	1.0
5	55	1.0
5	58	1.0
5	59	1.0
5	701	1.0
5	702	1.0
5	191	1.0
5	704	1.0
5	705	1.0
5	706	1.0
5	707	1.0
5	708	1.0
5	709	1.0
5	710	1.0
5	711	1.0
5	712	1.0
5	713	1.0
5	714	1.0
5	715	1.0
5	716	1.0
5	717	1.0
5	718	1.0
5	719	1.0
5	80	1.0
5	721	1.0
5	722	1.0
5	723	1.0
5	724	1.0
5	725	1.0
5	726	1.0
5	727	1.0
5	728	1.0
5	729	1.0
5	730	1.0
5	731	1.0
5	732	1.0
5	733	1.0
5	734	1.0
5	735	1.0
5	736	1.0
5	720	1.0
5	98	1.0
5	739	1.0
5	740	1.0
5	741	1.0
5	742	1.0
5	743	1.0
5	737	1.0
5	745	1.0
5	746	1.0
5	747	1.0
5	748	1.0
5	749	1.0
5	750	1.0
5	111	1.0
5	752	1.0
5	744	1.0
5	626	1.0
5	755	1.0
5	756	1.0
5	757	1.0
5	758	1.0
5	759	-1.0
5	760	-1.0
5	761	-1.0
5	762	-1.0
5	703	1.0
5	636	1.0
6	0	1.0
6	768	1.0
6	770	1.0
6	771	1.0
6	769	1.0
6	636	1.0
6	44	1.0
6	767	1.0
6	80	1.0
6	754	1.0
6	172	1.0
6	649	1.0
6	31	1.0
6	764	1.0
6	765	1.0
6	766	1.0
6	191	1.0
7	772	1.0
7	773	1.0
7	774	1.0
7	775	1.0
7	776	1.0
7	777	1.0
7	778	1.0
7	779	1.0
7	780	1.0
7	781	1.0
7	782	1.0
7	783	1.0
7	784	1.0
7	785	1.0
7	786	1.0
7	787	1.0
7	788	1.0
7	789	1.0
7	790	1.0
7	791	-1.0
7	792	-1.0
7	793	-1.0
7	794	-1.0
7	795	-1.0
7	796	-1.0
7	797	-1.0
7	542	-1.0
7	176	1.0
7	244	1.0
8	0	1.0
8	3	1.0
8	9	1.0
8	17	1.0
8	18	1.0
8	30	1.0
8	47	1.0
8	48	1.0
8	49	1.0
8	50	1.0
8	51	1.0
8	52	1.0
8	54	1.0
8	55	1.0
8	58	1.0
8	60	1.0
8	69	-1.0
8	70	-1.0
8	83	1.0
8	85	-1.0
8	87	-1.0
8	88	-1.0
8	95	1.0
8	98	1.0
8	103	1.0
8	622	-1.0
8	118	1.0
8	125	-1.0
8	127	1.0
8	128	1.0
8	130	1.0
8	131	1.0
8	134	1.0
8	140	1.0
8	142	1.0
8	144	1.0
8	662	-1.0
8	668	-1.0
8	699	1.0
8	197	1.0
8	231	-1.0
8	798	1.0
8	799	1.0
8	800	1.0
8	801	1.0
8	802	1.0
8	803	1.0
8	804	1.0
8	805	1.0
8	806	1.0
8	807	1.0
8	808	1.0
8	809	1.0
8	810	1.0
8	811	1.0
8	812	1.0
8	813	1.0
8	814	1.0
8	815	1.0
8	816	1.0
8	817	1.0
8	818	1.0
8	819	1.0
8	820	1.0
8	821	1.0
8	822	1.0
8	823	1.0
8	824	1.0
8	825	1.0
8	826	1.0
8	827	1.0
8	828	1.0
8	829	1.0
8	830	1.0
8	831	1.0
8	832	1.0
8	833	1.0
8	834	1.0
8	835	1.0
8	836	1.0
8	837	1.0
8	838	1.0
8	839	1.0
8	840	1.0
8	841	1.0
8	842	1.0
8	843	1.0
8	844	1.0
8	845	1.0
8	846	1.0
8	847	1.0
8	848	1.0
8	849	1.0
8	850	1.0
8	851	1.0
8	852	1.0
8	853	1.0
8	854	1.0
8	855	1.0
8	856	1.0
8	857	1.0
8	858	1.0
8	859	1.0
8	860	1.0
8	861	1.0
8	862	1.0
8	863	1.0
8	864	1.0
8	865	1.0
8	866	1.0
8	867	1.0
8	868	1.0
8	869	-1.0
8	870	-1.0
8	871	-1.0
8	872	-1.0
8	873	-1.0
8	874	-1.0
8	875	-1.0
8	876	-1.0
8	877	-1.0
8	878	-1.0
8	879	-1.0
8	880	-1.0
8	881	-1.0
8	882	-1.0
8	883	-1.0
8	884	-1.0
8	885	-1.0
8	886	-1.0
8	887	-1.0
8	888	-1.0
8	889	-1.0
8	890	-1.0
8	891	-1.0
8	892	-1.0
8	893	-1.0
8	894	-1.0
8	895	-1.0
8	896	-1.0
8	897	-1.0
8	898	-1.0
8	899	-1.0
8	900	-1.0
8	901	-1.0
8	902	-1.0
8	903	-1.0
8	904	-1.0
8	905	-1.0
8	906	-1.0
8	907	-1.0
8	908	-1.0
8	909	-1.0
8	910	-1.0
8	911	-1.0
8	912	-1.0
8	913	-1.0
8	914	-1.0
8	915	-1.0
8	916	-1.0
8	917	-1.0
8	918	-1.0
8	919	-1.0
8	920	-1.0
8	921	-1.0
8	922	-1.0
8	923	-1.0
8	924	-1.0
8	925	-1.0
8	926	-1.0
8	927	-1.0
8	928	-1.0
8	929	-1.0
8	930	-1.0
8	931	-1.0
8	932	-1.0
8	933	-1.0
8	934	-1.0
8	935	-1.0
8	936	-1.0
8	937	-1.0
8	938	-1.0
8	939	-1.0
8	940	-1.0
8	941	-1.0
9	952	1.0
9	944	1.0
9	196	1.0
9	950	1.0
9	134	1.0
9	843	1.0
9	140	1.0
9	80	1.0
9	17	1.0
9	942	1.0
9	953	1.0
9	56	1.0
9	943	1.0
9	954	1.0
9	144	1.0
9	98	1.0
9	955	1.0
9	945	1.0
9	948	1.0
9	956	1.0
9	951	1.0
9	622	1.0
9	47	1.0
9	48	1.0
9	49	1.0
9	946	1.0
9	947	1.0
9	52	1.0
9	949	1.0
9	118	1.0
9	55	1.0
9	632	1.0
9	820	1.0
9	58	1.0
9	699	1.0
9	60	1.0
9	957	1.0
