% wiki_small
% out_node	in_node	sign
0	387	-1.0
1	66	-1.0
1	109	1.0
1	5	1.0
1	629	1.0
2	287	1.0
3	1	1.0
3	322	-1.0
3	515	1.0
3	5	1.0
3	134	1.0
3	328	1.0
3	236	1.0
3	599	1.0
3	11	1.0
3	526	1.0
3	399	1.0
3	147	1.0
3	212	1.0
3	279	1.0
3	36	1.0
3	414	1.0
3	100	1.0
3	1004	1.0
3	239	1.0
3	8	1.0
3	629	1.0
3	504	1.0
3	215	-1.0
4	1	1.0
4	515	1.0
4	100	1.0
4	8	1.0
4	781	-1.0
4	279	1.0
4	109	-1.0
4	237	-1.0
4	792	-1.0
4	399	1.0
4	328	1.0
4	147	1.0
4	660	-1.0
4	629	1.0
4	599	1.0
4	504	1.0
4	571	-1.0
5	279	1.0
5	1	1.0
5	322	1.0
5	3	1.0
5	134	1.0
5	705	1.0
5	328	1.0
5	9	1.0
5	236	1.0
5	11	1.0
5	1004	1.0
5	526	1.0
5	399	1.0
5	464	1.0
5	147	1.0
5	212	1.0
5	597	1.0
5	599	1.0
5	36	1.0
5	527	1.0
5	732	1.0
5	414	1.0
5	1119	1.0
5	97	-1.0
5	830	-1.0
5	100	1.0
5	215	1.0
5	220	1.0
5	95	-1.0
5	387	1.0
5	109	-1.0
5	239	1.0
5	515	1.0
5	8	1.0
5	629	1.0
5	119	-1.0
5	504	1.0
5	660	1.0
5	571	1.0
5	574	1.0
6	1024	-1.0
6	1	1.0
6	3	-1.0
6	2119	1.0
6	135	-1.0
6	1801	1.0
6	2058	-1.0
6	11	-1.0
6	2060	-1.0
6	2114	1.0
6	1038	1.0
6	527	1.0
6	2059	-1.0
6	529	1.0
6	274	-1.0
6	1299	1.0
6	1300	1.0
6	2299	-1.0
6	535	1.0
6	1795	-1.0
6	281	1.0
6	538	1.0
6	27	1.0
6	1271	1.0
6	2328	-1.0
6	287	1.0
6	1520	-1.0
6	1698	1.0
6	2005	-1.0
6	293	1.0
6	732	1.0
6	1389	-1.0
6	191	1.0
6	2092	-1.0
6	943	1.0
6	1203	-1.0
6	566	1.0
6	439	1.0
6	312	1.0
6	186	1.0
6	316	1.0
6	189	1.0
6	2035	-1.0
6	576	1.0
6	705	1.0
6	66	-1.0
6	1219	-1.0
6	1592	1.0
6	328	1.0
6	1482	-1.0
6	1227	-1.0
6	2892	1.0
6	2001	-1.0
6	597	1.0
6	203	1.0
6	1751	1.0
6	152	1.0
6	2011	-1.0
6	220	1.0
6	2874	-1.0
6	361	1.0
6	2016	-1.0
6	1659	1.0
6	1636	1.0
6	486	1.0
6	2023	-1.0
6	104	1.0
6	1980	-1.0
6	234	1.0
6	1388	-1.0
6	365	-1.0
6	1006	1.0
6	239	1.0
6	112	1.0
6	497	-1.0
6	2546	-1.0
6	147	1.0
6	1012	-1.0
6	885	-1.0
6	2038	-1.0
6	1513	1.0
6	1403	-1.0
6	2104	-1.0
6	111	-1.0
6	1621	1.0
7	1	1.0
7	2034	-1.0
7	281	1.0
7	956	1.0
7	109	1.0
7	781	-1.0
8	328	1.0
8	1	1.0
8	781	-1.0
8	504	1.0
8	399	1.0
9	1	1.0
9	515	1.0
9	5	1.0
9	134	1.0
9	705	1.0
9	8	1.0
9	1004	1.0
9	12	1.0
9	66	1.0
9	526	1.0
9	399	1.0
9	274	-1.0
9	147	1.0
9	404	1.0
9	1795	1.0
9	281	1.0
9	239	1.0
9	156	1.0
9	414	1.0
9	1219	1.0
9	1543	1.0
9	36	1.0
9	805	1.0
9	1190	1.0
9	40	-1.0
9	220	1.0
9	95	1.0
9	135	-1.0
9	1454	1.0
9	690	1.0
9	1203	1.0
9	317	1.0
9	566	1.0
9	1801	1.0
9	186	1.0
9	571	-1.0
9	956	1.0
9	189	1.0
9	574	-1.0
9	961	1.0
9	322	1.0
9	579	1.0
9	829	1.0
9	327	1.0
9	713	1.0
9	1994	-1.0
9	160	1.0
9	76	1.0
9	361	1.0
9	975	1.0
9	464	1.0
9	1491	1.0
9	212	1.0
9	597	1.0
9	203	1.0
9	599	1.0
9	600	1.0
9	527	1.0
9	732	-1.0
9	93	-1.0
9	1119	1.0
9	1504	-1.0
9	353	1.0
9	293	1.0
9	165	-1.0
9	190	1.0
9	316	1.0
9	234	1.0
9	1643	1.0
9	236	-1.0
9	1389	1.0
9	111	1.0
9	112	1.0
9	915	1.0
9	629	1.0
9	1129	-1.0
9	504	1.0
9	379	1.0
9	1148	1.0
9	639	-1.0
10	1	1.0
10	3	1.0
10	5	1.0
10	134	1.0
10	705	1.0
10	8	1.0
10	236	1.0
10	11	1.0
10	526	1.0
10	399	1.0
10	274	-1.0
10	515	1.0
10	156	1.0
10	414	1.0
10	36	1.0
10	805	1.0
10	732	-1.0
10	95	-1.0
10	45	-1.0
10	1327	-1.0
10	690	-1.0
10	317	-1.0
10	215	1.0
